neighbourhood_name,neighbourhood_id,income,soldPrice,rank
West Humber-Clairville,1,31771,521792.1143,127
Mount Olive-Silverstone-Jamestown,2,26548,423334.8837,134
Thistletown-Beaumond Heights,3,32815,741284.6154,81
Rexdale-Kipling,4,34418,771078.7234,73
Elms-Old Rexdale,5,32012,606306.4839,109
Kingsview Village-The Westway,6,36674,633625,105
Willowridge-Martingrove-Richview,7,44177,876818.5,53
Humber Heights-Westmount,8,45615,746413.7931,77
Edenbridge-Humber Valley,9,101551,1420053.125,14
Princess-Rosethorn,10,99055,1686432.807,7
Eringate-Centennial-West Deane,11,47002,741545.1017,80
Markland Wood,12,62378,890207.6923,51
Etobicoke West Mall,13,38255,544174.6119,122
Islington-City Centre West,14,52787,727627.9607,84
Kingsway South,15,144642,1672932.87,8
Stonegate-Queensway,16,64140,1124585.4,27
Mimico (includes Humber Bay Shores),17,54438,670477.6741,96
New Toronto,18,44101,799360.3448,68
Long Branch,19,47384,980214.2857,34
Alderwood,20,47709,894532.76,49
Humber Summit,21,30731,750858.3333,76
Humbermede,22,29528,543915,123
Pelmo Park-Humberlea,23,39003,717186.3158,88
Black Creek,24,25989,529993.75,126
Glenfield-Jane Heights,25,27984,653323.3333,101
Downsview-Roding-CFB,26,34168,707846,91
York University Heights,27,29958,598125.2475,112
Rustic,28,31800,910833.3333,44
Maple Leaf,29,37108,939821.2051,40
Brookhaven-Amesbury,30,32483,735950,83
Yorkdale-Glen Park,31,38527,655627.5897,99
Englemount-Lawrence,32,48134,861411.2125,55
Clanton Park,33,51181,806034.0795,64
Bathurst Manor,34,45936,958191.2281,38
Westminster-Branson,35,32724,759400,74
Newtonbrook West,36,34904,856999.8571,58
Willowdale West,37,44576,858966.9717,57
Lansing-Westgate,38,72371,923072.7528,42
Bedford Park-Nortown,39,123077,1856655.64,5
St.Andrew-Windfields,40,100516,1770559.397,6
Bridle Path-Sunnybrook-York Mills,41,308010,3206701.493,1
Banbury-Don Mills,42,67757,1005845.245,33
Victoria Village,43,35786,632897.3684,106
Flemingdon Park,44,28654,424182.8571,133
Parkwoods-Donalda,45,42516,840897.8559,62
Pleasant View,46,36346,794283.7838,70
Don Valley Village,47,37379,804387.8824,66
Hillcrest Village,48,40442,0,0
Bayview Woods-Steeles,49,47246,0,0
Newtonbrook East,50,45212,0,0
Willowdale East,51,45326,721110.9573,85
Bayview Village,52,52035,744985.6163,79
Henry Farm,53,36359,583823.6148,115
