soldPrice,bedrooms,bathrooms,levels,locker,parking,maintenanceFees,taxes,exterior,basement,garage,driveway,heat,ac,heatingFuel,styleName,approxAge,balcony,fireplaceStove,kitchens,parkingType,stories,sqft_min,sqft_max,latitude,longitude,subway_distance,neighbourhood_id,income
507000.0,1,1,1,1,1.0,492.52,1679.17,2,1,1,0,1,1,1,1,0,1,2,1.0,1,10.0,500.0,599.0,43.76909439999999,-79.36868709999997,0.2485325429212305,52,52035
940000.0,2,3,1,1,1.0,855.75,2531.0819999999994,2,1,1,0,0,1,0,1,0,1,2,1.0,1,33.0,1200.0,1399.0,43.6691531,-79.3873723,0.2039854587015424,76,56526
539000.0,4,1,2,0,1.0,0.0,3979.81,1,4,4,0,0,0,0,2,0,0,1,1.0,0,1.0,1032.5556446345588,1216.3893472036427,43.647802,-79.51485799999998,0.2892629134703785,15,144642
399900.0,1,1,1,1,1.0,355.95,2376.0,7,5,1,0,0,1,0,1,0,1,2,1.0,1,32.0,500.0,599.0,43.6502401,-79.3609196,1.3834899152099551,77,70600
415000.0,3,2,3,0,3.0,0.0,2662.23,1,3,7,0,0,1,0,3,0,0,2,1.0,0,1.0,1643.6643574744526,2106.3102973174196,43.76654,-79.330047,1.6870397247682554,45,42516
1138000.0,3,3,4,1,1.0,548.79,4204.7,1,1,1,0,1,1,1,4,0,3,2,1.0,1,1.0,1400.0,1599.0,43.6591568,-79.3637818,1.4041578611013965,72,34597
149000.0,1,1,1,3,1.0,245.54,1296.24,1,1,1,0,0,1,0,1,0,2,2,1.0,3,2.0,570.6391097765538,707.6612331281538,43.7038775,-79.34949990000001,2.7035001340288134,55,28875
675000.0,2,1,1,1,1.0,438.55,2200.0,1,1,1,0,1,1,1,1,2,1,2,1.0,1,7.0,700.0,799.0,43.6575979,-79.44583459999998,0.2874426915179596,83,40588
1079000.0,2,2,1,1,2.0,882.14,4049.8,2,1,1,0,1,1,1,1,0,1,2,1.0,1,22.0,800.0,899.0,43.65221029999999,-79.3707988,0.6766950793472838,73,58915
345000.0,3,1,3,0,1.0,0.0,2382.7,1,4,6,0,0,1,0,2,0,0,1,1.0,0,1.0,652.5917532326548,764.6126504748034,43.762104,-79.250187,1.4436447785891473,127,33256
299000.0,1,1,1,1,1.0,279.0,1796.3666666666668,2,1,1,0,0,1,0,1,0,1,2,1.0,1,8.0,500.0,699.0,43.6384523,-79.41280239999998,2.450110461008996,82,70623
440000.0,3,2,2,0,1.0,0.0,2549.85,1,2,2,0,0,0,0,3,0,0,2,1.0,0,1.0,979.3146032869674,1158.3336932169,43.674464,-79.338109,0.7324872363183541,69,48511
363000.0,2,2,3,0,3.0,0.0,3073.52,3,2,2,0,0,1,0,2,0,0,2,1.0,0,1.0,700.0,1100.0,43.694451,-79.472399,2.970447351490987,112,33829
875000.0,4,4,2,0,4.0,0.0,4801.51,1,2,4,0,0,1,0,2,0,0,1,1.0,0,1.0,1518.6651431987461,1929.7652758182146,43.676189,-79.512988,3.0472495078501494,9,101551
570000.0,1,2,1,1,1.0,567.76,2152.94,2,1,1,0,1,1,1,1,0,1,2,1.0,1,15.0,700.0,799.0,43.7651861,-79.3847188,0.3147866752635513,52,52035
528509.0675215402,2,3,2,1,1.0,418.5,2039.7060000000001,3,1,1,0,0,1,0,4,0,1,2,1.0,3,3.0,1100.0,1299.0,43.7788311,-79.4134619,0.3448481795080523,51,45326
987000.0,3,2,3,0,3.0,0.0,4188.12,1,2,5,1,1,1,1,2,0,0,2,1.0,0,1.0,1174.048857570319,1443.068561053347,43.6574901,-79.5595757,2.8579246494169914,11,47002
308632.404376927,1,2,1,1,2.0,443.28,1988.0,1,1,1,0,0,1,0,1,0,2,2,1.0,1,23.0,700.0,899.0,43.7652893,-79.38233699999998,0.4613545366550206,52,52035
56868.86584121193,5,3,2,0,6.0,0.0,3854.61,4,3,3,1,1,1,1,2,0,0,1,2.0,0,1.0,1108.8850871290988,1436.419220131352,43.7409477,-79.30168259999998,2.6783230008800705,119,35047
528509.0675215402,2,2,1,1,1.0,418.72,2660.63,2,1,1,0,0,1,0,1,0,1,2,1.0,1,18.0,800.0,899.0,43.7656853,-79.4099902,0.4531270966821749,51,45326
555000.0,3,2,3,0,2.0,0.0,4127.93,1,2,4,0,0,1,0,2,0,0,2,1.0,0,1.0,1823.9808544336963,2235.783408518062,43.748206,-79.345233,3.0452161116530783,42,67757
380000.0,3,2,3,0,3.0,0.0,3070.24,1,2,4,0,0,1,0,2,0,0,2,1.0,0,1.0,1994.012677331819,2372.527404643276,43.688468,-79.552841,5.2680920617703215,6,36674
1179711.0,4,3,2,0,5.0,0.0,4791.64,1,2,4,1,1,1,1,2,0,0,1,1.0,0,1.0,1600.9157220077502,2034.7272572159895,43.7649661,-79.3741642,0.5062618261611016,40,100516
518990.5972555397,3,2,8,0,2.0,0.0,3164.0,1,2,4,0,0,1,0,2,0,0,1,1.0,0,1.0,676.0818270859181,796.1069539290229,43.733014,-79.44322199999998,0.5663085071347959,33,51181
464500.0,0,1,1,2,1.0,353.0,1385.31,6,1,1,0,5,1,1,1,0,5,2,1.0,1,23.0,0.0,499.0,43.7611976,-79.4089515,0.17014937670016506,51,45326
233000.0,1,1,1,2,1.0,309.92,1462.31,1,1,2,0,0,1,0,1,0,2,1,1.0,2,12.0,698.6264871956453,750.8327471534942,43.6500732,-79.3748906,0.27501121209219365,75,53583
1040000.0,2,2,1,1,1.0,558.4,4318.77,2,1,1,0,1,1,1,1,0,1,2,1.0,1,49.0,800.0,899.0,43.65053010000001,-79.3821482,0.3038628309114137,76,56526
183000.0,2,1,2,2,1.0,190.0,1541.46,1,2,2,0,0,1,0,4,0,2,2,1.0,3,1.0,1003.1203811577051,1179.8059014507749,43.746787,-79.295008,1.9730666393623049,119,35047
2400000.0,4,5,2,0,3.0,0.0,8338.01,6,2,3,0,0,1,0,2,0,0,1,1.0,0,1.0,3294.8896640593634,4525.268069025198,43.684125,-79.381734,0.7819422590315909,98,207903
1090019.0,2,2,2,0,1.0,0.0,3733.19,1,3,2,5,1,1,1,2,0,0,2,1.0,0,1.0,1056.3354234578228,1246.104089049459,43.6678233,-79.3337042,1.5094268637629027,70,53803
828000.0,2,2,1,2,1.0,791.32,3460.32,2,1,1,0,1,1,1,1,0,1,2,1.0,1,35.0,800.0,899.0,43.6428849,-79.3806168,0.3157905526464803,77,70600
1700000.0,4,3,4,0,1.0,0.0,6602.63,1,1,3,4,1,1,1,2,0,0,1,3.0,0,1.0,1686.9199467488063,2122.203446346962,43.6739182,-79.28840559999998,2.0268257838834303,63,92580
400961.56595713255,1,1,1,1,1.0,430.0,2101.0,2,1,1,0,0,1,0,1,0,3,2,1.0,1,13.0,700.0,799.0,43.7655635,-79.4108921,0.43252221811151104,51,45326
899729.4078955627,3,4,4,0,2.0,0.0,5200.0,7,2,3,0,0,1,0,3,0,0,1,1.0,0,1.0,2500.0,3000.0,43.664644,-79.306211,2.48139113929711,63,92580
